run_log,run_family,config_path_logged,config_path_repo,config_exists,graphml_path,graph_num_nodes_cfg,num_deliveries_cfg,use_pretrained_model_cfg,pretrained_model_path_cfg,resume_training_cfg,flood_time_weight_cfg,landslide_time_weight_cfg,hazard_lambda_cfg,active_rain_keys_cfg,graph_nodes_log,graph_edges_log,tmax_log,device_log,run_count,first_eval_episode,last_eval_episode,best_eval_eps0_episode,best_eval_eps0_success,best_eval_eps0_reward,best_eval_eps005_episode,best_eval_eps005_success,best_eval_eps005_reward,final_eval_eps0_success,final_eval_eps005_success,final_eval_eps0_reward,final_eval_eps005_reward,best_ckpt_episode_logged,best_ckpt_success_logged,best_ckpt_reward_logged
results/runs/hazard_training_final/fast_HF/last_run_stage_200_fast_HF_RI2_det.txt,hazard_training_final/fast_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\fast_HF\stage_200_fast_HF_RI2_det.json,configs/hazard_training_final/fast_HF/stage_200_fast_HF_RI2_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_fast_warm_HF/best_model.pt,false,0.5,0.5,5,RI2,200,209,4171.94,cpu,1,200,8000,7400,74.00,55.64,8000,84.50,98.74,73.00,84.50,67.67,98.74,7400,74.00,55.64
results/runs/hazard_training_final/fast_HF/last_run_stage_200_fast_HF_RI2_det_further.txt,hazard_training_final/fast_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\fast_HF\stage_200_fast_HF_RI2_det_further.json,configs/hazard_training_final/fast_HF/stage_200_fast_HF_RI2_det_further.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/hazard_training_final/fast_HF/stage_200_fast_HF_RI2_det/best_model.pt,false,0.5,0.5,5,RI2,200,209,4171.94,cpu,1,200,12000,6600,80.00,101.72,9800,86.50,130.38,79.50,80.00,100.38,105.67,6600,80.00,101.72
results/runs/hazard_training_final/fast_HF/last_run_stage_200_fast_HF_RI3_det.txt,hazard_training_final/fast_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\fast_HF\stage_200_fast_HF_RI3_det.json,configs/hazard_training_final/fast_HF/stage_200_fast_HF_RI3_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_fast_warm_HF/best_model.pt,false,0.5,0.5,5,RI3,200,209,4171.94,cpu,1,200,8000,7400,18.00,-93.35,2200,19.00,-92.58,12.50,13.50,-116.18,-110.18,7400,18.00,-93.35
results/runs/hazard_training_final/fast_HF/last_run_stage_200_fast_HF_RI4_det.txt,hazard_training_final/fast_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\fast_HF\stage_200_fast_HF_RI4_det.json,configs/hazard_training_final/fast_HF/stage_200_fast_HF_RI4_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_fast_warm_HF/best_model.pt,false,0.5,0.5,5,RI4,200,209,4171.94,cpu,1,200,5000,1200,8.00,-130.06,2200,9.50,-124.63,5.00,5.50,-141.32,-139.42,1200,8.00,-130.06
results/runs/hazard_training_final/fast_HF/last_run_stage_200_fast_HF_RI5_det.txt,hazard_training_final/fast_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\fast_HF\stage_200_fast_HF_RI5_det.json,configs/hazard_training_final/fast_HF/stage_200_fast_HF_RI5_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_fast_warm_HF/best_model.pt,false,0.5,0.5,5,RI5,200,209,4171.94,cpu,1,200,5000,3000,0.50,-158.02,4600,1.00,-156.05,0.00,0.50,-160.00,-158.03,3000,0.50,-158.02
results/runs/hazard_training_final/safe_HF/last_run_stage_200_safe_HF_RI2_det.txt,hazard_training_final/safe_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\safe_HF\stage_200_safe_HF_RI2_det.json,configs/hazard_training_final/safe_HF/stage_200_safe_HF_RI2_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_safe_warm_HF/best_model.pt,false,0.5,0.5,20,RI2,200,209,4171.94,cpu,1,200,8000,7600,62.00,-67.37,7200,64.00,-31.66,52.00,63.00,-110.96,-110.09,7600,62.00,-67.37
results/runs/hazard_training_final/safe_HF/last_run_stage_200_safe_HF_RI2_det_further.txt,hazard_training_final/safe_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\safe_HF\stage_200_safe_HF_RI2_det_further.json,configs/hazard_training_final/safe_HF/stage_200_safe_HF_RI2_det_further.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/hazard_training_final/safe_HF/stage_200_safe_HF_RI2_det/best_model.pt,false,0.5,0.5,20,RI2,200,209,4740.85,cpu,1,200,12000,12000,71.50,-27.66,8000,80.00,-11.71,71.50,69.50,-27.66,-17.65,12000,71.50,-27.66
results/runs/hazard_training_final/safe_HF/last_run_stage_200_safe_HF_RI2_det_lo_lambda.txt,hazard_training_final/safe_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\safe_HF\stage_200_safe_HF_RI2_det_lo_lambda.json,configs/hazard_training_final/safe_HF/stage_200_safe_HF_RI2_det_lo_lambda.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_safe_warm_HF/best_model.pt,false,0.5,0.5,15,RI2,200,209,4740.85,cpu,1,200,12000,12000,77.50,54.20,10800,84.50,56.25,77.50,78.50,54.20,41.43,12000,77.50,54.20
results/runs/hazard_training_final/safe_HF/last_run_stage_200_safe_HF_RI3_det.txt,hazard_training_final/safe_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\safe_HF\stage_200_safe_HF_RI3_det.json,configs/hazard_training_final/safe_HF/stage_200_safe_HF_RI3_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_safe_warm_HF/best_model.pt,false,0.5,0.5,20,RI3,200,209,4171.94,cpu,1,200,8000,1800,14.50,-118.88,6800,16.50,-106.53,10.50,11.50,-126.15,-126.44,1800,14.50,-118.88
results/runs/hazard_training_final/safe_HF/last_run_stage_200_safe_HF_RI4_det.txt,hazard_training_final/safe_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\safe_HF\stage_200_safe_HF_RI4_det.json,configs/hazard_training_final/safe_HF/stage_200_safe_HF_RI4_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_safe_warm_HF/best_model.pt,false,0.5,0.5,20,RI4,200,209,4171.94,cpu,1,200,5000,400,6.00,-138.99,4600,7.00,-135.67,5.00,5.00,-142.48,-143.06,400,6.00,-138.99
results/runs/hazard_training_final/safe_HF/last_run_stage_200_safe_HF_RI5_det.txt,hazard_training_final/safe_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\safe_HF\stage_200_safe_HF_RI5_det.json,configs/hazard_training_final/safe_HF/stage_200_safe_HF_RI5_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_safe_warm_HF/best_model.pt,false,0.5,0.5,20,RI5,200,209,4171.94,cpu,1,200,5000,3200,0.50,-158.00,200,0.00,-160.00,0.00,0.00,-160.00,-160.00,3200,0.50,-158.00
results/runs/hazard_training_new/fine_tuned/last_run_stage_100_balanced_RI3_from_RI2_det.txt,hazard_training_new/fine_tuned,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\fine_tuned\stage_100_balanced_RI3_from_RI2_det.json,configs/hazard_training_new/fine_tuned/stage_100_balanced_RI3_from_RI2_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/hazard_training_new/stage_100_balanced_RI2_det/best_model.pt,false,0.5,0.5,10.0,RI3,100,102,1991.16,cuda,1,200,7000,6800,27.50,-59.27,2800,25.00,-68.43,24.00,22.50,-71.61,-78.15,6800,27.50,-59.27
results/runs/hazard_training_new/fine_tuned/last_run_stage_100_balanced_RI4_from_RI3_det.txt,hazard_training_new/fine_tuned,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\fine_tuned\stage_100_balanced_RI4_from_RI3_det.json,configs/hazard_training_new/fine_tuned/stage_100_balanced_RI4_from_RI3_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/hazard_training_new/fine_tuned/stage_100_balanced_RI3_from_RI2_det/best_model.pt,false,0.5,0.5,10.0,"RI1,RI2,RI3,RI4",100,102,1991.16,cuda,1,200,9000,6200,14.50,-105.26,3800,14.00,-107.34,9.00,10.00,-126.34,-122.10,6200,14.50,-105.26
results/runs/hazard_training_new/fine_tuned/last_run_stage_100_balanced_RI5_from_RI4_det.txt,hazard_training_new/fine_tuned,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\fine_tuned\stage_100_balanced_RI5_from_RI4_det.json,configs/hazard_training_new/fine_tuned/stage_100_balanced_RI5_from_RI4_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/hazard_training_new/fine_tuned/stage_100_balanced_RI4_from_RI3_det/best_model.pt,false,0.5,0.5,10.0,RI5,100,102,1991.16,cuda,1,200,10000,10000,1.00,-156.06,400,0.50,-158.01,1.00,0.50,-156.06,-158.01,10000,1.00,-156.06
results/runs/hazard_training_new/last_run_stage_100_balanced_multi_RI123_det.txt,hazard_training_new,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\stage_100_balanced_multi_RI123_det.json,configs/hazard_training_new/stage_100_balanced_multi_RI123_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/staged_training_new/stage_100_balanced_warm/best_model.pt,true,0.5,0.5,10.0,"RI1,RI2,RI3",100,102,1991.16,cuda,2,200,11000,2800,66.00,68.27,11000,64.50,64.74,56.50,64.50,23.41,64.74,2800,66.00,68.27
results/runs/hazard_training_new/last_run_stage_100_balanced_multi_RI23_det.txt,hazard_training_new,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\stage_100_balanced_multi_RI23_det.json,configs/hazard_training_new/stage_100_balanced_multi_RI23_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/staged_training_new/stage_100_balanced_warm/best_model.pt,false,0.5,0.5,10.0,"RI2,RI3",100,102,1991.16,cuda,1,200,9000,8400,44.50,-10.22,5600,44.50,-7.26,37.00,36.50,-35.11,-37.54,8400,44.50,-10.22
results/runs/hazard_training_new/last_run_stage_100_balanced_multi_RI_det.txt,hazard_training_new,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\stage_100_balanced_multi_RI_det.json,configs/hazard_training_new/stage_100_balanced_multi_RI_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/staged_training_new/stage_100_balanced_warm/best_model.pt,false,0.5,0.5,10.0,"RI1,RI2,RI3,RI4,RI5",100,102,1991.16,cuda,1,200,12000,5000,31.00,-48.07,10000,29.50,-57.46,25.00,26.00,-74.75,-68.75,5000,31.00,-48.07
results/runs/hazard_training_new/last_run_stage_100_balanced_RI2_det.txt,hazard_training_new,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\stage_100_balanced_RI2_det.json,configs/hazard_training_new/stage_100_balanced_RI2_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/staged_training_new/stage_100_balanced_warm/best_model.pt,false,0.5,0.5,10.0,RI2,100,102,1991.16,cuda,1,200,5000,4000,63.00,64.96,2400,64.00,57.92,55.00,55.50,30.31,30.84,4000,63.00,64.96
results/runs/hazard_training_new/last_run_stage_100_balanced_RI3_det.txt,hazard_training_new,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_new\stage_100_balanced_RI3_det.json,configs/hazard_training_new/stage_100_balanced_RI3_det.json,true,data/staged_subgraphs/selected_subgraph_n100.graphml,100,2,true,checkpoints/staged_training_new/stage_100_balanced_warm/best_model.pt,false,0.5,0.5,10.0,RI3,100,102,1991.16,cuda,1,200,7000,1800,26.50,-62.57,4000,27.00,-61.59,20.50,18.00,-84.45,-95.15,1800,26.50,-62.57
